/home/steve/IdeaProjects/tqec/.venv/bin/python /home/steve/IdeaProjects/tqec/streaming.py
Benchmarking streaming with nx=5, ny=5, t=100, k=2

Initial stream generation time (s): 0.00000072

Index, Time Taken (s), Time Elapsed (s), Total Circuit Size (bytes), Circuit Snippet
Partition 1/12 layer tree generation time (s): 3.865647077560425
240, 0.00025272, 85.96767569, 7573428, TICK
241, 0.23466444, 86.20234728, 7573432, RX 2 4 8 10 14 16 18
242, 0.23965025, 86.44218278, 7624544, REPEAT 3 {     TICK
243, 0.00020218, 86.44256496, 7679969, TICK
244, 0.24373507, 86.68630886, 7679973, RX 2 4 8 10 14 16 18
245, 0.00025296, 86.68674755, 7732983, TICK
246, 0.23120975, 86.91796589, 7732987, RX 2 4 8 10 14 16 20
247, 0.22979045, 87.14794564, 7783248, REPEAT 3 {     TICK
248, 0.00018144, 87.14829707, 7836993, TICK
249, 0.27632928, 87.42463517, 7836997, RX 2 4 8 10 14 16 20
250, 0.00031471, 87.42517304, 7888303, TICK
251, 0.71954465, 88.14472890, 7888307, RX 2 4 8 10 14 16 20
252, 0.24208808, 88.38699555, 7939187, REPEAT 3 {     TICK
253, 0.00018525, 88.38735533, 7994565, TICK
254, 0.23940420, 88.62676811, 7994569, RX 2 4 8 10 14 16 20
255, 0.00025368, 88.62720370, 8047535, TICK
256, 0.23914623, 88.86635804, 8047539, RX 2 4 8 10 14 16 20
257, 0.23741651, 89.10396051, 8098689, REPEAT 3 {     TICK
258, 0.00020075, 89.10434008, 8154080, TICK
259, 0.73661900, 89.84096622, 8154084, RX 2 4 8 10 14 16 20
260, 0.00024199, 89.84138441, 8207051, TICK
261, 0.24456811, 90.08596158, 8207055, RX 2 4 6 8 10 14 16
262, 0.25885320, 90.34499478, 8258927, REPEAT 3 {     TICK
263, 0.00020790, 90.34539270, 8315501, TICK
264, 0.27165556, 90.61705875, 8315505, RX 2 4 6 8 10 14 16
265, 0.00038767, 90.61770868, 8369665, TICK
266, 0.26968455, 90.88740492, 8369669, RX 2 4 6 8 10 12 14
267, 0.24926519, 91.13684416, 8421596, REPEAT 3 {     TICK
268, 0.00018668, 91.13720512, 8478079, TICK
